iter	RMSE
0	63.02302249
1	62.88917889
2	62.73861283
3	62.60563756
4	62.45126862
5	62.29495313
6	62.13797919
7	61.99664762
8	61.84329052
9	61.70422461
10	61.55951493
11	61.4117948
12	61.2773032
13	61.12634538
14	60.9924461
15	60.84869233
16	60.70042962
17	60.55585459
18	60.40608835
19	60.26501573
20	60.12301843
21	59.97472251
22	59.84302276
23	59.69595997
24	59.5586988
25	59.42959558
26	59.30677755
27	59.16982428
28	59.03599496
29	58.89703033
30	58.78454055
31	58.64719905
32	58.52030331
33	58.37202437
34	58.2377654
35	58.10683864
36	57.97618629
37	57.85018823
38	57.71850091
39	57.59494259
40	57.47040653
41	57.34063968
42	57.21141425
43	57.07868863
44	56.95417337
45	56.83203975
46	56.70343823
47	56.57579825
48	56.44750295
49	56.32222979
50	56.20431386
51	56.09502002
52	55.96790012
53	55.83839012
54	55.71263025
55	55.58585601
56	55.45711429
57	55.32902407
58	55.20881331
59	55.08568724
60	54.98820276
61	54.87858902
62	54.7739472
63	54.65555317
64	54.54205306
65	54.43286673
66	54.32135748
67	54.20268728
68	54.09891402
69	53.98132939
70	53.86733168
71	53.757584
72	53.63989994
73	53.52300653
74	53.41698133
75	53.306068
76	53.1900849
77	53.07912681
78	52.96792637
79	52.86645668
80	52.75282187
81	52.64682101
82	52.53344631
83	52.42173338
84	52.3225848
85	52.22207573
86	52.11667782
87	52.0100854
88	51.91030751
89	51.82082595
90	51.71777229
91	51.60935017
92	51.50162945
93	51.39192232
94	51.28411148
95	51.18008952
96	51.07784013
97	50.97232903
98	50.88113357
99	50.77931369
100	50.67609629
101	50.57678908
102	50.4745309
103	50.38231034
104	50.28185843
105	50.1944882
106	50.09404849
107	49.99827981
108	49.91351637
109	49.81429352
110	49.72703901
111	49.64223736
112	49.53949226
113	49.44374959
114	49.34971573
115	49.26360423
116	49.17182631
117	49.07724685
118	48.98383384
119	48.89558413
120	48.80117411
121	48.70940416
122	48.6212659
123	48.52400611
124	48.42931507
125	48.33597677
126	48.2413676
127	48.15755226
128	48.07458698
129	47.99261536
130	47.91026174
131	47.81890799
132	47.74550298
133	47.65287401
134	47.57581794
135	47.49473222
136	47.41141335
137	47.33247274
138	47.24311193
139	47.15397632
140	47.07078759
141	46.99399148
142	46.91508399
143	46.83353078
144	46.7474018
145	46.67078968
146	46.58778438
147	46.50283871
148	46.42348828
149	46.33737534
150	46.26504321
151	46.19510158
152	46.10930822
153	46.03647193
154	45.9616127
155	45.88971999
156	45.81713216
157	45.73312256
158	45.65260886
159	45.57596223
160	45.50420014
161	45.4245855
162	45.35092328
163	45.27361158
164	45.20266495
165	45.13190909
166	45.05213875
167	44.97493071
168	44.89501215
169	44.81975294
170	44.74132602
171	44.65871039
172	44.58286642
173	44.51078051
174	44.44780323
175	44.37653404
176	44.3056303
177	44.23211851
178	44.16768342
179	44.09455832
180	44.02418864
181	43.9499144
182	43.88851082
183	43.82424008
184	43.7472032
185	43.68071284
186	43.60838613
187	43.53795463
188	43.47689133
189	43.40230189
190	43.32709988
191	43.25790898
192	43.18584709
193	43.11559274
194	43.04512535
195	42.97628975
196	42.91261661
197	42.84956084
198	42.77540288
199	42.70835594
200	42.64296968
201	42.57265208
202	42.50490737
203	42.44181289
204	42.3874071
205	42.31536241
206	42.24833118
207	42.18313306
208	42.12131363
209	42.05940198
210	41.99226884
211	41.93251092
212	41.86860297
213	41.81287143
214	41.75444496
